StationName,SiteCode,Latitude,Longitude,Datum
Brush Creek 100ft US Transect K,BC-100UTK,38.45448,-122.68006,WGS84
Adobe Springs - Lower,ADSPR-3,33.5881,-117.1355,WGS84
Brush Creek 100ft DS Transect A,BC-100DTA,38.45309,-122.67853,WGS84
Brush Creek Transect F,BC-TF,38.45575,-122.6794,WGS84
Santa Rosa Creek 100ft DS Transect A,SRC-100DTA,38.44121,-122.7596,WGS84
Adobe Springs - Middle,ADSPR-2,33.587,-117.1319,WGS84
Adobe Springs - Upper,ADSPR-1,33.5878,-117.1309,WGS84
Antelope Creek at Kansas Avenue,504XXNS04,40.12483,-122.1147,NAD27
Bear Creek at Alpine Rd,531XNSJ32,38.07402,-121.21093,NAD27
Bear Creek at Harney Ln.,531XNSJ34,38.101712,-121.176429,NAD27
Bear River at Pleasant Grove Rd.,515XXCS11,38.984638,-121.486471,NAD27
Berenda Creek at Ave 17.5 west of Madera,545XSSJ03,37.00448,-120.23746,NAD27
Big Chico Creek at Grape,504XSED29,39.71668,-121.93079,WGS84
Boundary Drain at Henry Miller Ave,541XSSJ07,37.098838,-120.777768,NAD27
Butte Creek at Durnel Dr.,520XSED03,39.5839,-121.8,NAD27
Butte Creek at Gridley Road,520XXCS30,39.3619051,-121.909796,WGS84
Butte Creek on Durham Dayton Hwy,520XXCS07,39.64593,-121.78492,NAD27
Butte Slough at Lower Pass Rd,520XBSALP,39.18718,-121.90904,WGS84
Calaveras River at Clements Rd.,531XNSJ04,38.045627,-121.076605,NAD27
Button Ditch on Ave 368 west of Alta Ave,551XXFT05,36.4585621,-119.3982842,NAD27
Calaveris River at Pezzi Rd,531XNSJ31,38.04536,-121.19982,NAD27
Cantua Creek at South Stanislaus Ave.,551XXFT33,36.4289473,-120.3373768,WGS84
Ceres Main Canal at Faith Home and Hatch Road,535XSSJ22,37.609,-120.92043,WGS84
China Slough at Tehema and Vina Rd,504XXNS07,39.9372432,-122.0496258,NAD27
Colusa Basin Drain #5 (CBD5),520XCBDWR,39.18325,-122.05143,NAD83
Colusa Basin Drain above Knights Landing (CBD1),520XCBDKL,38.81212,-121.72433,NAD83
Colusa Drain at Hwy 162,520XSED28,39.52191,-122.04444,WGS84
Comanche Creek (Angel Slough) at Dayton Rd.,520XXCS06,39.700143,-121.848784,NAD27
Deer Creek @ Alila Ave.,558XSED16,35.95007,-119.1757,WGS84
Del Puerto Creek at DP Canyon,541XSED47,37.47398,-121.23623,WGS84
Calloway Canal at Hwy 46,558XXFT15,35.6017115,-119.262936,NAD27
Del Puerto Creek at intersection Hwy 33 and Mulberry Rd,541XNSJ17,37.51421,-121.15875,NAD27
Del Puerto Creek at Loquat #1,541XSED41,37.53856,-121.12389,WGS84
Del Puerto Creek at Loquat #2,541XSED42,37.53876,-121.12363,WGS84
Cottonwood Creek at Hwy 145 in Madera County,545XSSJ01,36.900207,-120.0548893,NAD27
Del Puerto Creek at Frank Cox Road,541XSED44,37.5313,-121.13805,WGS84
Del Puerto Creek at Rodgers,541XSED45,37.49936,-121.17761,WGS84
Del Puerto Creek at Vineyard,541XSED43,37.5214,-121.14866,WGS84
Del Puerto Creek at Vineyard Avenue,541STC516,37.521388888888886,-121.1486111111111,NAD83
Ditch on S. side of Utica Ave.,558XSED15,35.93418,-119.627,WGS84
Drain to Brack Dr at Woodbridge Rd,544XSED10,38.1527,-121.4989,NAD27
Drain to Fink Ditch at Central Ave,551XXFT18,36.691376,-119.465426,NAD27
Drain to Grant Line Canal off Wing Levee Rd.,544XXXD02,37.8205,-121.4035,NAD27
Del Puerto Creek at Zacharins Road,541XSED46,37.49394,-121.19386,WGS84
Drain to North Canal along Bonetti Drive,544XSED11,37.8643,-121.52,NAD27
Drain to North Canal at South Bonetti Rd.,544XXXD03,37.8715,-121.5256,NAD27
Drain to San Joaquin River off South Manthey Rd.,544XXXD01,37.8234,-121.2985,NAD27
Drain to Pixley Slough at Davis Rd,531XSED09,38.0564,-121.3332,NAD27
Drain to Walker Cr at County Rd F,520XXCS24,39.6744864,-122.2331999,NAD27
Drain to Wooten Cr along Hill Rd at Wooten Cr,558XXFT19,36.385049,-119.277806,NAD27
Dry Creek at J9,535XNSJ24,37.6589358,-120.7786658,NAD27
Duck Slough @ Gurr Rd,535XDSAGR,37.21408,-120.56126,NAD27
Duck Slough at Arboleda Drive,535XSSJ12,37.56072,-120.37818,NAD27
Drain to Walker Creek at Co. Rd. D,520XXCS22,39.684722,-122.251944,NAD27
El Nido Canal at W. Washington Road,535XSSJ20,37.11292,-120.43459,WGS84
Elbow Creek on Rd 112 N of Visalia,558XXFT03,36.40293,-119.32213,NAD27
Elk Bayou at Road 96,558XXFT24,36.1242879,-119.35671,NAD27
Fairfield Canal at Olive Avenue,535XSSJ21,37.31795,-120.39669,WGS84
Farmer's Ditch @ Rt. 137 (Tulare Ave),558XSED17,36.20884,-119.26043,WGS84
Fresno Slough at Huntsman Ave.,551XXFT32,36.5808145,-120.2028378,WGS84
Gilsizer Slough at Bogue Road,520GLSZR1,39.09841,-121.63878,WGS84
Gilsizer Slough at Hutchison,520GLSZR5,39.03979,-121.64622,WGS84
Gilsizer Slough at Lincoln,520GLSZR6,39.11285,-121.63599,WGS84
Gilsizer Slough at O'Banion,520GLSZR4,39.02533,-121.65913,WGS84
Gilsizer Slough at Oswald,520GLSZR3,39.06879,-121.64317,WGS84
Hamilton Slough at Hwy 99,520XXCS21,39.422793,-121.687218,NAD27
Holland Drain @ Hudson,541XSED26,36.92477,-120.5183,WGS84
Hospital Creek at Rd. 33,541XSED12,37.6123,-121.2597,NAD27
Howard Sloughat Afton Road,520XXCS37,39.4201,-121.8928,WGS84
Hunters Creek at Four Mile Road,520XXCS36,39.36518,-122.11617,WGS84
Hospital Creek at River Road,541STC042,37.61055555555556,-121.22861111111109,NAD83
Ingalsbe Slough at J17,535XNSJ26,37.4916684,-120.5564008,NAD27
Island Field Drain at Catrina Rd,541XSSJ04,37.061415,-120.572276,NAD27
Jack Slough,515XJSNKL,39.18038,-121.57108,NAD83
King Ditch @ Ave 368 & Rd. 60,551XSED19,36.46521,-119.43875,WGS84
Kings River at Jackson Ave Bridge,551XXFT13,36.255835,-119.854124,NAD27
Kings River at Manning Avenue,551KRAMAV,36.6039,-119.467,NAD83
Kings River at Reed Ave,551XXFT16,36.586921,-119.456388,NAD27
Juncture of Poso Drain and Pick Anderson Bypass,541XSED06,37.1406,-120.7072,NAD27
Knestirc Ditch @ Rt. 201 (Ave. 400),551XSED20,36.51731,-119.43939,WGS84
Lateral 5 at Paradise Road,535XSSJ17,37.61453,-121.1438,WGS84
Lateral 6 at Central Avenue,535XSSJ19,37.40163,-120.95913,WGS84
Littlejohns Creek @ Jack Tone Rd,531XLCAJR,37.88958,-121.14727,NAD83
Live Oak Slough @ Eager Rd,520XXXSLO,39.18127,-121.66233,WGS84
Livingston Canal at Cressey Way,535XSSJ15,37.47864,-121.40605,WGS84
Lone Tree Creek @ Jack Tone Rd,531XLTCJR,37.83754,-121.1446,NAD83
Lower Lateral 2 at Grayson Road,535XSSJ18,37.56522,-121.13846,WGS84
Lurline Creek at Old Hwy 99,520XXCS35,39.21216,-122.18309,WGS84
Main Canal at Badger Flat Road,541XSSJ05,37.0712,-120.8768,WGS84
Main Drainage Canal at Colusa Highway,520XXCS31,39.3621382,-121.8230534,WGS84
Melga Canal at Jersey Ave,558XXFT25,36.24044,-119.624314,NAD27
Mid Roberts Island Drain at Woodsbro Road,544SJC517,37.94163,-121.3693,NAD83
Mill Creek at Road 168,558XSED18,36.34812,-119.19781,WGS84
Mormon Slough on Jack Tone Rd,531XNSJ06,37.9650461,-121.147934,NAD27
Mud Creek at Meridian,504XSED30,39.74741,-121.91808,WGS84
Mud Creek at Sacramento Ave,504XXCS32,39.7290384,-121.931909,WGS84
Murphy Slough @ Elm,551XSED22,36.46018,-119.7987,WGS84
North Main Canal at Sankey Rd.,519XXSS05,38.779779,-121.53259,NAD27
N-S Ditch along Natomas Rd,519XXSS09,38.74504,-121.4938,NAD27
Orestimba Creek at Kilburn Road,541XNSJ18,37.399181,-121.031678,NAD27
Owens Creek at Gurr Rd,535XSSJ10,37.235343,-120.559533,NAD27
Paddy Creek at Jack Tone Rd.,531XNSJ38,38.1178976,-121.149731,NAD27
Peoples Ditch at Elder Ave,551XXFT31,36.386676,-119.637744,NAD27
Pixley Slough at Eightmile Rd,531XNSJ28,38.05765,-121.3135032,NAD27
Pixley Slough at Ham Ln,531XNSJ36,38.07474,-121.286298,NAD27
Poso Drain at NE corner of Turner Island and Palazzo Rd,541XSSJ08,37.1285379,-120.7056483,NAD27
PoSo Slough @ Hudson,541XSED25,36.97646,-120.54536,WGS84
Poso Slough at Eucalyptus,541FSED25,37.01076,-120.60405,WGS84
Poso Slough at Merrill,541BSED25,36.95242,-120.51951,WGS84
Poso Slough at Newcomb,541CSED25,36.95096,-120.50906,WGS84
Poso Slough at Shain,541ASED25,36.97421,-120.54295,WGS84
Poso Slough at Valeria,541DSED25,36.98164,-120.55665,WGS84
Sacramento Slough near Karnak (SS1),520XSSLNK,38.785,-121.6533,WGS84
Salt Creek at Old Hwy 99,520XXCS34,39.16874,-122.15644,WGS84
Sand Slough on Turner Island Rd. West of Merced Natl. Wildlife Refuge,535XSSJ09,37.1717,-120.6834,WGS84
Simmerly Slough at Ellis Avenue,515XXCS09,39.1980747,-121.5769612,NAD27
Spring Creek at E. Camp Rd.,520XXCS23,39.108778,-122.210816,NAD27
Spring Creek at Walnut Drive,520XXCS15,39.11975,-122.19318,NAD27
St. Johns River at Road 108,558XXFT23,36.3745289,-119.3312722,NAD27
Stevinson Lower Lateral at intersection of Faith Home Rd and,535XNSJ29,37.372402,-120.921935,NAD27
Poso Slough at Evans,541ESED25,36.99539,-120.57233,WGS84
Stinson Ditch @ Kamm,551XSED24,36.53146,-120.11618,WGS84
Stone Corral Creek at Four Mile Road/Excelsior Road ,520LSAC29,39.29363,-122.11562,WGS84
Stony Creek at Highway 45,520XXCS33,39.7108706,-122.0026054,WGS84
Stony Creek at Hwy 32,504XSED27,39.74592,-122.1014,WGS84
Stony Creek on Hwy 45 near Rd 24,504XXCS03,39.7098148,-122.0022059,NAD27
Sycamore Slough at Cotta Road (near Guard Road),544XXXD04,38.13794,-121.42144,WGS84
TID Lateral #2 on Service Road,535XSSJ16,37.58013,-120.87577,WGS84
Tributary Home Colony Canal,504XXCS01,39.7842504,-122.1965925,NAD27
Tule River at Poplar Ave,558XXFT14,36.05001,-119.50499,NAD27
Turner Ditch @ Marks (aka 22nd Ave),551XSED23,36.43824,-119.85109,WGS84
Ulatis Creek at Brown Road,511ULCABR,38.307,-121.7942,WGS84
Unnamed Canal at Cutting Road b/t Co. Rd. P and 6th Ave,504XXCS02,39.7977,-122.1317,WGS84
Unnamed Canal at Howard Road,544SJC516,37.87696,-121.37656,NAD83
Unnamed Canal at Hwy 45,520XXCS13,38.9688605,-121.8608738,NAD27
Unnamed canal at west end of Woodbridge Rd,544XNSJ03,38.152657,-121.498601,NAD27
Unnamed Ditch at SW corner of Levee and Riego Rd,519XXSS04,38.751162,-121.4937041,NAD27
Unnamed Drain Along Sutter Island X Rd,510XXXSSI,38.29572,-121.59263,WGS84
Unnamed Drain of Walker Creek on Co. Rd. 28,520XXCS12,39.6684595,-122.2238517,NAD27
Unnamed Slough at Wildwood Rd,531XSED08,37.8633,-121.1282,NAD27
West Adams Canal at Road 89,511XXSS07,38.7048777,-121.9609313,NAD27
West Reedley Ditch at East Adams Ave,551XXFT08,36.6332838,-119.4455153,NAD27
Willow Slough at Road 99,511XXSS03,38.6047066,-121.7842178,NAD27
Winters Canal at Road 86A,511XXSS06,38.66366,-122.01609,NAD27
Yankee Slough at Swanson Road,515XXCS10,38.9677658,-121.5145248,NAD27
Alameda Creek at RM 29.49,ALC29.49,37.49723,-121.76138,WGS84
Tom Paine Slough at Paradise Rd.,544XSED07,37.7716,-121.386,NAD27
Alameda Creek at RM 20.87,ALC20.87,37.54687,-121.85914,WGS84
Alameda Creek at RM 22.52,ALC22.52,37.52885,-121.84742,WGS84
Alameda Creek at RM 25.21,ALC25.21,37.50475,-121.82581,WGS84
Alameda Creek at RM 26.57,ALC26.57,37.50727,-121.80431,WGS84
Alameda Creek at RM 27.69,ALC27.69,37.5011,-121.78669,WGS84
Calaveras Creek at RM 00.20,CAC00.20,37.50169,-121.8182,WGS84
Alameda Creek at RM 24.66,ALC24.66,37.50963,-121.82725,WGS84
Library ,MVC-LIB,38.693275,-119.78175,WGS84
Markleeville FS Campground ,MVC-USFS,38.69745,-119.774433,WGS84
Markleeville Guard Station,MVC-GSN,38.694733,-119.777583,WGS84
Pleasant Valley Road,HSC-PVR,38.689967,-119.795883,WGS84
"Alvarado Creek, lower SDSU restoration",907ALVLWR,32.781992,-117.076474,WGS84
"Alvarado Creek, upper SDSU restoration",907ALVUPR,32.7818,-117.073585,WGS84
Beaver Creek at Ponderosa Way,509MJR010,40.08628,-121.69807,NAD83
Calf Creek tributary to Deer Creek,509MJR008,40.16818,-121.56537,NAD83
"Alvarado Creek, upstream of pedestrian bridge",907ALVPED,32.778231,-117.063477,WGS84
NF Calf Creek,509MJR009,40.15695,-121.52248,NAD83
Upper Potato Patch unnamed,509MJR007,40.20785,-121.55051,NAD83
Carter Creek,509MJR012,40.22762,-121.41144,NAD83
Spring fed trib to Gurnsey Creek near Childs Meadows,509MJR003,40.32389,-121.48209,NAD83
Deer Creek DCID Dam,509MJR013,40.011218,-121.954448,NAD83
Deer Creek below Slate Creek confluence,509MJR005,40.23455,-121.45926,NAD83
Deer Creek near Butt MountainDeer Creek above Potato Patch Campground,509MJR002,40.1908,-121.52975,NR
Round Valley Creek trib to Deer Creek near Hwy 32,509MJR011,40.21398,-121.49319,NAD83
Swamp Creek tributary to Deer Creek,509MJR001,40.26103,-121.48453,NAD83
Trib to Deer Creek just south of Potato Patch Campground,509MJR004,40.18721,-121.53737,NAD83
Unnamed trib to Deer Creek 0.7 mi east of Alder Creek Campground,509MJR006,40.21951,-121.4892,NAD83
Cosumnes River above Granlee Dam,532COS016,38.498411,-121.062495,NAD 83
Cosumnes River Below Granlee Dam,532COS017,38.494264,-121.071456,NAD 83
Cosumnes River North Fork Ladies Valley,532COS006,38.63743,-120.75748,NAD83
Cosumnes River North Fork above Diversion,532COS003,38.63934,-120.58414,NAD83
Cosumnes River South Fork Reference Site,532COS012,38.531824,-120.699119,NAD83
Camp Creek ~ 100' below Old Gaging Station,532CAM003,38.69149,-120.54625,NAD83
Camp Creek ~ 150' above Sly Park Diversion,532CAM002,38.72375,-120.52437,NAD83
"Camp Creek Headwaters, Piliken",532CAM001,38.68242,-120.34819,NAD83
Cosumnes River below North Fork and Middle Fork Confluence,532COS014,38.55405,-120.84727,NAD83
Cosumnes River Middle Fork above E-16 Bridge,532COS010,38.62651,-120.70014,NAD83
Cosumnes River Middle Fork above Pi Pi Bridge,532COS009,38.56392,-120.42881,NAD83
Cosumnes River Middle Fork below Outingdale Diversion,532COS011,38.61591,-120.73246,NAD83
Cosumnes River Middle Fork Headwaters Foster Meadows,532COS008,38.59759,-120.24006,NAD83
Cosumnes River North Fork ~ 300' below Capps Crossing,532COS002,38.65272,-120.41283,NAD83
Cosumnes River North Fork above Sand Ridge Bridge,532COS007,38.59091,-120.84261,NAD83
Cosumnes River North Fork Headwaters Leek Springs,532COS001,38.63647,-120.24178,NAD83
Cosumnes River North Fork below Diversion,532COS004,38.63887,-120.58914,NAD83
Cosumnes River North Fork below Sweeney Bridge,532COS005,38.65289,-120.62706,NAD83
Cosumnes River South Fork below River Pines Bridge,532COS013,38.54601,-120.75767,NAD83
Cosumnes River Steely Fork Below Grizzly Flat Bridge,532COS015,38.627104,-120.573738,NAD83
Cosumnes River Mahon Ranch,532COS018,38.371548,-121.324858,NAD 83
10th Avenue -18in Discharge,203CAR060-DIS-18,36.55,-121.929,NAD83
11th Avenue -18in Discharge,203CAR070-DIS-18,36.5488,-121.929,NAD83
12th Avenue -18in Discharge,203CAR080-DIS-18,36.5477,-121.929,NAD83
13th Avenue -18in Discharge,203CAR090-DIS-18,36.5464,-121.929,NAD83
18th Green PBGL / Lodge - Receiving Water,203PEB010-REC,36.5674,-121.95,NAD83
4th Avenue - Receiving Water,203CAR010-REC,36.5561,-121.931,NAD83
8th Avenue -18in Discharge,203CAR040-DIS-18,36.5526,-121.929,NAD83
8th Street at Ocean View -18in Discharge,203PAC030-DIS-18,36.6216,-121.91,NAD83
9th Avenue -18in Discharge,203CAR050-DIS-18,36.5512,-121.929,NAD83
At Ocean View between 7th Street and 5th Street -18in Discharge,203PAC020-DIS-18,36.6211,-121.91,NAD83
Big Creek - Reference Site Receiving Water,303BIG030-REF,36.07,-121.6,NAD83
Big Sur River - Reference Site Receiving Water,303BIG010-REF,36.2807,-121.858,NAD83
Distillery -18in Discharge,205SAN040-DIS-18,37.5177,-122.513,NAD83
Doud Creek - Reference Site Receiving Water,203LOB030-REF,36.4224,-121.913,NAD83
Gazos Creek - Reference Site Receiving Water,203SAN010-REF,37.1627,-122.362,NAD83
Grand Avenue at Ocean View -18in Discharge,203PAC070-DIS-18,36.6244,-121.916,NAD83
HMS (Hopkins Marine Station),203PAC013-SED,36.6197,-121.903,NAD83
Hopkins Marine Station Sea Water Composite,HMS-Sea Water Comp,36.6197,-121.903,NAD83
Juliana -18in Discharge,205SAN020-DIS-18,37.5291,-122.517,NAD83
La Selva Beach - Reference Site Receiving Water,302MBY010-REF,36.9335,-121.864,NAD83
La Selva Beach - Sediment ,302MBY010-SED,36.9335,-121.864,NAD83
Lovers at Ocean View  - Receiving Water,203PAC080-REC,36.6246,-121.916,NAD83
MBA (Monterey Bay Aquarium),203PAC011-SED,36.6189,-121.902,NAD83
Madrone -18in Discharge,205SAN050-DIS-18,37.5142,-122.512,NAD83
Malpaso Creek - Reference Site Receiving Water,203LOB010-REF,36.4816,-121.938,NAD83
Marina State Beach - Reference Site Receiving Water,202MBY010-REF,36.6979,-121.809,NAD83
Maritime Walk -18in Discharge,205SAN010-DIS-18,37.5311,-122.518,NAD83
Northwest corner of Lovers Point Park at Ocean View Boulevard -18in Discharge,203PAC090-DIS-18,36.6266,-121.917,NAD83
Ocean Avenue -18in Discharge,203CAR020-DIS-18,36.555,-121.93,NAD83
"Ocean View at Hopkins Marine Station, Stanford University - Receiving Water",203PAC010-REC,36.619,-121.903,NAD83
Ocean View between 12th Street and 13th Street - Receiving Water,203PAC040-REC,36.6229,-121.914,NAD83
Ocean View between Clyte Street and Naiad Street -18in Discharge,203PAC100-DIS-18,36.6274,-121.92,NAD83
Ocean View between Fountain Avenue and 15th Street -18in Discharge,203PAC060-DIS-18,36.6238,-121.915,NAD83
Parking lot at Del Mar near Ocean Avenue -18in Discharge,203CAR030-DIS-18,36.5544,-121.93,NAD83
Scenic Road & Santa Lucia Avenue -18in Discharge,203CAR100-DIS-18,36.5464,-121.929,NAD83
Scenic Way - Receiving Water,203MON010-REC,36.5444,-121.933,NAD83
Scott Creek - Reference Site Receiving Water,204ANO010-REF,37.0411,-122.231,NAD83
Soberanes Creek - Reference Site Receiving Water,203LOB020-REF,36.4563,-121.925,NAD83
"Stillwater Cove - Sediment, End of Pier ",203PEB036-SED,36.5666,-121.943,NAD83
"Stillwater Cove - Sediment, Mooring Field ",203PEB035-SED,36.5666,-121.943,NAD83
Sycamore Creek - Reference Site Receiving Water,303BIG020-REF,36.2383,-121.816,NAD83
Trailhead at Agate Beach - Receiving Water,402MAR010-REC,37.8975,-122.711,NAD83
Tunitas Creek - Reference Site Receiving Water,206SAN010-REF,37.3583,-122.402,NAD83
Weinke Way - Receiving Water,205SAN030-REC,37.5286,-122.517,NAD83
Llagas Creek at Buena Vista Ave,SoSCCo-VIS,37.048686,-121.559186,NAD83
Llagas Creek at Monterey Rd,SoSCCo-MON,37.095689,-121.616788,NAD83
Llagas Creek at Oak Glen Ave,SoSCCo-OAK,37.114735,-121.688343,NAD83
Llagas Creek at Southside Drive,SoSCCo-LCD,36.99024,-121.53232,NAD83
Llagas Creek at Watsonville Rd,SoSCCo-WAT,37.08461,-121.653496,NAD83
Uvas Creek at Burchell Road,SoSCCo-UCU,37.0119,-121.627,NAD83
Uvas Creek at W. Luchessa Ave,SoSCCo-UCD,36.9918,-121.57214,NAD83
West Little Llagas Creek at Watsonville Rd,SoSCCo-WLL,37.10735,-121.635845,NAD83
Corrallitos Creek upstream of East Little Llagas,SoSCCo-COR,37.095927,-121.599441,NAD83
East Little Llagas Creek at Church Ave,SoSCCo-ELL,37.072884,-121.584672,NAD83
Stillwater Pier -18in Discharge,203PEB030-DIS-18,36.5666,-121.943,NAD83
West Branch Llagas Creek at Miller Slough,SoSCCo-LCU,37.00794,-121.545407,NAD83
Arroyo de la Laguna upstream of Pleasanton Canal Trail,204R04196,37.67384,-121.91121,NAD83
Arroyo Mocho at Hetch Hetchy Aqueduct,204AMO182,37.60224,-121.66393,NAD83
Courtland Creek at Courtland Creek Park,204COU100,37.7808,-122.2048,NAD83
Arroyo Las Positas approx 150 m downstream of Isabel Ave,204R05676,37.6962,-121.80661,NAD83
Arroyo Mocho approx 300 m downstream of Stoneridge Dr.,204R05092,37.68715,-121.88357,NAD83
San Lorenzo Creek below Hazel Ave,204R05531,37.6788,-122.08771,NAD83
Alameda Creek at Palomares Rd,204ALA200,37.59786,-121.94835,WGS84
Altamont Creek upstream of Pasatiempo St,204ALT115,37.72322,-121.72697,WGS84
Arroyo del Valle upstream of E. Shore Trail,204ADV450,37.62036,-121.74792,WGS84
Arroyo las Positas at Paseo Laguna Seco apartments,204ALP075,37.69855,-121.78141,NAD83
Arroyo Las Positas upstream of Heather Lane,204ALP250,37.71628,-121.73373,WGS84
Arroyo Las Positas downstream of I-580,204ALP090,37.70214,-121.76012,WGS84
Cull Creek approx 150 m north of Columbia Dr. ,204CUL110,37.71299,-122.05574,WGS84
Glen Echo Creek at Oak Glen Park,204LME120,37.81968,-122.25925,WGS84
Arroyo Viejo upstream of Bancroft Ave.,204R04923,37.76183,-122.17157,NAD83
Agua Caliente Cr_BA_2012-205R00110,205R00110,37.50273,-121.91225,NAD83
Redwood Creek below fish ladder,204ARE210,37.80165,-122.14491,WGS84
Arroyo Mocho_BA_2012-204R00100,204R00100,37.6828,-121.89625,NAD83
Alameda Creek at Sunol Visitor Center,204ALA400,37.51659,-121.8322,WGS84
Castro Valley Creek above confluence with Chabot Creek,204CVY080,37.68269,-122.07931,NAD83
Castro Valley Creek above confluence with San Lorenzo Creek,204CVY005,37.67846,-122.08011,NAD83
Castro Valley Creek east side of Redwood Rd,204CVY090,37.68732,-122.07329,NAD83
Chabot Creek upstream of Castro Valley Creek,204CHA020,37.68202,-122.08079,WGS84
Arroyo de la Laguna_BA_2012-204R00356,204R00356,37.66873,-121.9092,NAD83
Dublin Creek_BA_2012-204R00084,204R00084,37.70104,-121.92542,NAD83
Crow Creek approx 400 m upstream of Crow Creek Rd. ,204R05303,37.70082,-122.04513,NAD83
Redwood Creek at Old Church picnic area,204ARE250,37.81127,-122.15585,WGS84
Alameda Creek just upstream of Little Yosemite,204ALA430,37.506,-121.81303,WGS84
Lakeview Blvd_BA_2012-205R00430,205R00430,37.48089,-121.93641,NAD83
Line 3A-D_BA_2012-204R00583,204R00583,37.61906,-122.05928,NAD83
N. Fork Ward Creek upstream of Oakes Dr,204WAR130,37.66602,-122.05537,WGS84
Crow Creek approx 700 m upstream of Cold Water Dr. ,204R05231,37.71301,-122.03971,NAD83
Arroyo Valle_BA_2012-204R00191,204R00191,37.66579,-121.87752,NAD83
Estudillo Canal upstream of Cove Ct. ,204R05103,37.69255,-122.13545,NAD83
Old Alameda Creek approx 250 m upstream of Union Landing Blvd,204R05335,37.59767,-122.06131,NAD83
Carlos Bee Park_BA_2012-204R00303,204R00303,37.68275,-122.081236,NAD83
"Collier Creek Channel, Line 7-M_BA_2012-204R00068",204R00068,37.69908,-121.80891,NAD83
Dry Creek_BA_2012-204R00647,204R00647,37.60965,-122.0175,NAD83
Relocated Arroyo Las Positas approx 500 m upstream of confluence with Arroyo Seco,204R05249,37.69494,-121.73008,NAD83
Castro Valley Cr_BA_2012-204R00047,204R00047,37.68826,-122.07257,NAD83
Line 5-F-1_BA_2012-205R00535,205R00535,37.53942,-122.0198,NAD83
Kottinger Cr near Sherry Ct-204R00447,204R00447,37.65781611,-121.8597507,NAD83
Sabercat Creek upstream of Roberts Ave,205R05122,37.52658,-121.95327,NAD83
Woodhams Creek - La Cuesta Guild of La Honda-202R00024,202R00024,37.3246750913,-122.246659208,NAD83
Alamo Creek near Amador Valley Blvd-204R00852,204R00852,37.72015923,-121.9125284,NAD83
San Leandro Creek at Empire Road,204SLE030,37.72556,-122.18361,WGS84
"Valle, Arroyo at CEMEX facility-204R00334",204R00334,37.64633113,-121.7878363,NAD83
San Lorenzo Creek downstream of confluence with Castro Valley Creek,204SLO010,37.67757,-122.08204,WGS84
San Lorenzo Creek just downstream of Center St,204R05159,37.68608,-122.06372,NAD83
Tassajara Creek upstream of W. Las Positas Blvd,204TAS020,37.68741,-121.88879,WGS84
Arroyo Mocho near Chateau Way-204R00473,204R00473,37.6705925,-121.760562,NAD83
Decoto Rd_BA_2012-204R00391,204R00391,37.58682,-122.02358,NAD83
Sulphur Creek at Sulphur Creek Nature Center,204SUL190,37.67684,-122.06488,WGS84
